,English,Target Kinnauri,Generated Kinnauri
1582,Bringing them to their desired place,तेनोर लाह तेनोर रोह मोरज़ी रोह ज़ागा गाश बेशानोह,तेनोर लाह आफरोह च़ाँनोह ज़ागा गाश पोछ़ाई देह।
1583,"At first he was not ready for the hospital, but he arrived at the evening on the advice of the doctor.",पोईले ताह सोह अस्‍पताल रोह ताई तैयार निफरिह तेबिह मुशीए सोमजाई फिछुह बयाल पोछिह,शुरू कै हौसौ अस्पताल रिह ताईंयै त्यार नाईं फिरो पर डौकटौर रिह राया गाश ब्याली पोछ़ो।
1584,The boy accepts the bread and cheese pack.,रोटी आई पनीर रोह पैकेट पुंशा मांनुष मागदोस,छ़ोटू रोटी सिह पनीर रै पैक मौन्याँदौस।
1585,Why are there contracts every evening and morning?,दोथिह बयाल घेका किजु फिरेन यारो ठेका,किजुह साह ठेका दयारोह दोथिह ब्याल
1586,The sky - element is endangered,सोरोग रोह चिजा छेकीयेन,सोरोग रोह खतरा साह
1587,You can change that can change.,तुहं बोदलिसे आई सोह बिह बोदलियेस।,तुह बोदल्याई बोलसेह किह बोदल्याई बोलसेह
1588,I heard it loudly.,कानै का ज़ोरियै शूनबै लागो,मेईंयेह ज़ोरिये शुनिह देह।
1589,The king and the saint had a long conversation and were very impressed by the words of the saint.,राज़ा आ सौंत रै बीच़ काफी देर सेका बातै फिरि राज़ा लै सौंत रिह बातै कौरि वाल औसौर फिरोस।,राज़ा आ सौंत रि बौदी बातै बाताईंदै सौंत रि बातै कौरि वाल खुश फिरिंदै
1590,What are you doing?,तु कयौ कौरान सै?,तुह किह खोटदोह सेह?
1591,Mary: Are we all done?,मैरी: कियाह तामोरिह सेएबेह फिरिहा?,मैरी: कयौ आमोरि सेबियै छ़ेकिंदैसा?
1592,Who are you and what is your case?,तुहं कुन सेह आई तेरोह मुकद्दमा कियास?,तुहं कुन सेह आई तेरोह केस कियास?
1593,Like a bird drinking,जेएव किह चोरखि पियेन हुएग।,ज़ेओ च़ोरखी जुटदोस
1594,The anxious flame of the day,चिन्तपूर्णी ज्वाला जी शुपटी शुपटी नाशनो,फिकोर रोह दयारोह रोह ज्वाला
1595,I'm good.,हाँऊ ओबोल सुह,हांऊ बोलोह सुहं।
1596,"All right, then, see you again tomorrow, sister Geeta.","ठीक सै तैह, गीता बौएन कालै बेठियुँगै फिरि।",ठीकस तेह कालै फिरि बेठुईया बहिनी गीता
1597,That's good.,ओबोल साह,ओबोल साह।
1598,The golden bird sailed.,सुणोह रोहचोरखि पालाएन हाँड,सुणोह रोह चोरखी पोरुह नाठोस।
1599,We all left and went to heaven.,सोह आमोर लाह शोठाई देह होई दुनिया काह ठुरिस।,तामोरिह सऐबे शोठाई देह सोरोग केह नाठे।
1600,I live near the fields.,हांऊ तांह डोखरे थाकदोह सुहं।,हाऊँ डोखरोह काछ़ै थाकदौसु।
1601,"In Sanskrit, Hindi, everyone was left behind.","संस्कृत, हिंदी केह सऐब लाऐ पिछ़ाऐ शोठादो थियोह।",संस्कृत केह हिन्दी केह सऐबे लाऐ पिछ़ाऐ थाकनोह आछ़ेन थियोह।
1602,My grandparents loved me very much.,मेरोह आपी सेह तेते मांलाह मुलुक बेदान टानदे साह।,मेरोह तेते सिह तेते मांलाह मुलुक बेदान टानदे थियेह।
1603,I 'll see what happens .,ज़ौ बिह फिरेस हाऊँ शासु,हाऊँ शासु किह कयौ फिरदौस।
1604,That 's what 's so distracting today .,तेह ताह आज व्‍याकूल साह,आज़ हेति बाताउविंदै आछ़ानस हौयौए।
1605,The new generation will be cultured.,नोऊवोह पीढी संस्कार स्या फिरेस।,नोऊवोह पीढी लाह संस्कार फिरेस।
1606,It takes a while.,दौक का ए वापौस आछ़दौ।,दौक वौक्त लागदौस।
1607,"I'm fine, how are you?",हाँऊ ओबोल सुह तुह केनोह सेह?,"हाऊँ भौलौ सु, तुँबै कैनै सौ?"
1608,The Queen went in.,रानी हाईतै नाठिस,रानी हाईतै नाठी।
1609,The top - sloping farm - shaft,काँडोह रयाचो डोखरो खोलिह,चोटीह लोटिह देह डोखरोह रोह
1610,And Kirpu is here today.,आई किरपू बिह आज़ कालिह ईन्छ़ेस।,आई किरपू आज़ बिह ईन्छ़े साह।
1611,Haan is a tree of berries.,आंह ! जामुन रोह बोट तांह साह।,हैन जामुन रोह बोट साह
1612,He was very surprised to see this.,होई सऐब देखिह देह सोह वाल बिशादियोस।,हौयौ देखिंदै हौसौ वाल हैरान गुवोस।
1613,He took out a hot sheet from his torn sack and gave it to me.,हेति बोलिंदै तियूँवै आपनै फूटैंदै ज़ोली का एक ताती चादौर गारिंदै मुला दिनी,तियूँवै आपनौ फौटौंदौ ज़ोला का एक तातौ चादौर गारो आ मुला दिनो
1614,And some people are rude and unpleasant.,आई एकया मानुषा मुलुक आई नबाने साह।,आई ऐक्या मांनुशा होरिह बेईज़ती सिह मांरे काम खोटदे साह।
1615,You want to meet my cat Jenkins?,मेरोह पिशिह जेनकींस बैठिहमे चाएन साह?,तुह मेरोह पिशिह जेनकिंस सिह बेठिमे चादेह सेयाह?
1616,Can I bet?,स्‍कूल कैह रंग? हाऊ शर्त बेजिह बोलसुह?,हाऊँ शर्त बेज़ि सौकदौसु?
1617,It is a matter of convenience.,टानदोह साह आफरोह मोन मानी,सोदाह रोह बातेह साह
1618,"When the lawyer heard this, he said, ""Congratulations, sir, and now pay me the rest of the fee and a little reward"".","बस हौयौ बातै लै शूनिंदै विशेसर रौ वौकीलै बोलो, “सर तुमलै बधाई आ एबै मैरी बाकी रि फिस दियौ तै किछ़ ईनाम बि”","वौकीलै हौयौ बातै शूनिंदै बोलोस, मुबारक ताऊँलै, साब, एबै बाकी भौरि आ दौक इनाम बि मुला द्या।"""
1619,It sounds funny.,होई मोजाह लागदोह साह।,होई मोज़ा रोह गान ज़ानोह आछ़ेनस।
1620,"But it was our fate that the fields of corn ate the mountains , that fields climbed and that flowed .",पर आमोर रौ भाग्य कै हौयौए मक्का डोखरौ हौयौए ढ़ौक खाईयां हौयौए डोखरै हौयौए चौढाई आ हौयौए नालै।,पर तामोर रिह किस् मोत थीह किह दोरती रोह डोखराऐ काँडोह खांई देह डोखराऐ च़ोलोस आई बोयाऐन थाकोस।
1621,Who counted the waves,कुन लेहर होर लाह नापयाएन थाकेस,लहर होर लाह कुन गिनुईदेह
1622,The boy did just that.,छ़ोटूवै हैनौए कियो,छ़ोटुवै हौयौए कियो।
1623,I followed my father and became a writer in Cali and Mexico.,मेईये मेरोह बुआ लाह रुङमाई आई कैली आई मेक्सिको कैह ऐकह लेखक फिरिह।,मेईंयेह आफरोह बुआ लाह पिछ़ाऐ बेज़िह आई कैलि आई मेक्सिको केह एकह लेखक फिरिह देह।
1624,Groups of women and men come,"देनिह पेर सिह, पुशां पेरे रोह टोलाङ आऐ।",देनिह पेर सिह पुशां पेर रोह टोलाङ आछ़ेह।
1625,I am waiting for my husband to go home.,घोरेह नाशमे लाह मेरोह पुशां लाह पोखिह सुह,हाऊँ आपनौ मौर्द लै घौरै नाशनाई पौखिंदिसु।
1626,"His father said, ""I know.","होयो शुनिह देह तिन रोह बुआऐ बोलोस, मांलाह ऐसा पोतास।","तेनोर रोह बुआऐ बोलोस, मांलाह पोतास।"
1627,"I stood at the doorstep and said, ""What's a yes?","मैईंय द्वाराई डेलाठी कै खौरौ फिरिंदै बोलो, आँ बोल कयौस?","द्वारै कै खौरौ फिरिंदै बोलो, आस कयौस?"
1628,What do you do for a living?,तुमोरिह एकह ज़ियुदो रोह तांई कियाह खोटदे सोह?,तुँबै ज़ियुनाई ताईंयै कयौ कौरदैसौ?
1629,"Without drinking, they will die.",नुज़ुटिह देह बिह मोरसुहं,बिना जुटेन ताह मोरिह देह
1630,My mother's wonderful memories are playing with me.,मेरोह आमांरोह बिशादिनो ज़ेओ कोलाङ होरिह मुकसिह खेलेन साह।,मेरोह आमां रोह शांरे कोलाङ मुकसिह खेलियेन साह।
1631,"This is the 21st century, with the Internet, mobile, remote, gas, microwave, induction online services, video conferencing, jeans, skirts, top, fashion and style.","होई बिशोह एकह सदी साह, ज़िज़ केह इंटरनेट,  मोबाईल,  रिमोट,  गैस,   माईक्रोवेव ओवन,  इंडक्शन ऑनलाइन सर्विस वीडियो कॉन्फ्रेंस,जीन,स्कर्ट,टॉप,फैशन सिह तोरिका काम आछ़तोस।","होई 21वीं शताब्दी साह, इंटरनेट, मोबाइल, रिमोट, गैस, माइक्रोवेव, इंडक्शन ऑनलाइन सर्विस, वीडियो कांफ्रेंसिंग, जींस, स्कर्ट, टॉप, फैशन आई स्टाईल सिह।"
1632,Her pulse had been shut off for some time.,तियूँरि साँस ज़ानि केतरा का बौंद फिरि थाकि थीह।,तेस रोह नाडी गाटोह दयार काह शोतोम फिरिह थियोह।
1633,I took my daughter with me.,हाऊँ आपनी हाई लै बि साथ गिनुई नाठी।,मैईंयै आपनि छ़ोटि आपु सिह गिनुई।
1634,And he sat on them and travelled.,आई तेनोरिह तेनोर गाश बेशिह देह यात्रा टानदे थियेह।,तेनोर गाश बेशिह देह सोह सोह बिह सोह सोह बातह बोल्देस।
1635,The priest filled the bag with the chiller.,पुरोहिते आफरोह ज़ोला रुप्याऐ बोर्राई थियोह।,पुरोहिते थैला केह चिलर बेज़िह देह बोर्राओस।
1636,The lyrics are penned by S. K. Gautam N.,तिज़ रोह गेत एस0 के0 गौतमे चेमांईस।,एस.के गौतम एन रोह गेत लिरिक्स साह।
1637,I will touch all hearts,सेएब रोह मोन कैह लागसुह,सेएब रोह मोन लाह छुसुह
1638,Say something sweet,मिठौह किह किह बातेह बाताओ,किह मिठोह बोल
1639,Not to love someone who doesn 't know the house bar,तेस सि प्यार नौकौरौए ज़ासा घौरबार रौ पौता नुहुँवा,घोरेह रोह बार नाजानुह कास काह बेदान नाटानोह
1640,And some of these sweethearts were found there.,आ दौक हैनै शुगलबाज़ बि थे बेठुवैंदै,आई होतिन्छ़े ऐक्या शांरे होरिह बिह थाकदे थियेह।
1641,Martha: How much salmon and catfish should I buy?,मार्था: मुला केति सामान आ बिलारी माछ़ि लौनाई च़ानौ?,मार्था: हाऊँ केतरा सैल् मोन आ पिशी रिह किछ़ लौसु?
1642,Progress in Himachal will either stop or slow down,हिमाचल केह फिरेन उन्नति तोरोकी होयोवे रुकेस आई ठोप फिरेस।,"हिमाचल केह प्रगती यांह ठप्प फिरेस, यांह धीमा फिरेस।"
1643,What if you have to carry the dog on your shoulders?,आगोर ताऊलाह कुकुर तेरोह कामार गास नुमेह हुताह मालाह कियाह?,क्यारै क्यारै गाश कुकुर च़ुँगीना खोमाँदेन ता क्यौ?
1644,No one was amused or understood.,आई तेह कासे लाऐ सोमज़ सिह मोज़ाऐ नाछ़ेस।,कासे रोह मोजाह नाह कासे रोह मोजाह
1645,"At that time, the Pandavas ' mother, Kunti, was planting bushes in the courtyard.",होत्रेह पाँडव होर रोह आमां कुन्ती ब्रान्डा केह बोवर लेयाऐन थिह।,होत्रेह पाँडव होर रोह माता कुन्ती बगीच़ा केह बोट बेज़दी थिह।
1646,There he saw - a bad government bus recovered at the same time.,होतिन्छ़े तिनिये देखोस किह एकह खराब सरकारी बोस होत्रेह ठीक फिरिस।,"तिन्छ़े तिनिये देखोस, होत्रेह एकह मांरे सरकारी बोस बोच़िस।"
1647,I love to bake. Want to talk about recipes and cooking tips?,"हांऊ सेंकना सेह बेदान टानदो सुहं, व्यंजन होरिह आई पाक युक्ति होर रोह बारे केह बाते बात्यामे च़ाँई?",मालाह बेकिंग पसंद साह।आसौ नुस्खा आई खाऊ जुरानो रोह टिप्स रोह बारेह कैह बाताईमे चाएनौ?
1648,"No bread is full, nor is there any garment for the flesh.",नाह रोटी पुरोह साह नाह डेह रोह लिबास,नाह रोटी फुलदोह साह नाह मांसाऊ लाह गाछोह
1649,"Oh, the boy hired!",ओए बाउ क्राया आन।,ओह कामाईया रोह छेल् डु
1650,But today he saw nowhere in the garden that girl with golden hair.,तेबिह आज़ तांह तिन लाह बागिच़ा केह सुनोह ज़ेओ बाल सेह सोह देन मांनुश देखमेहं नाछ़ेन थिह।,पर आज़ तियूँलै बागिच़ा कै कियै बि नाईं देखो हौसौ सुनोह बाल वारौ छ़ोटी
1651,I would like to see her.,हांऊ तेस लाह शांमेह च़ाँई सुहं।,हाऊँ हौतयूँलै शाँबै च़ाँदौसु।
1652,I'm a chicken you roast me,"हांऊ मुर्गा ज़ुर्रासुहं,","हांऊ एकह चिकान सुहं, तुहं मांलाह रोसाई देह।"
1653,The poor man took bread.,बिचारो रोटीए ताह मागदोह थियोह,गरीबियै रोटी च़ुँगी।
1654,Arjuna was left there and he was left unconscious.,अर्जुन लाह होतिन्छ़े शोठाई देह सोह दुखे गोरे आईस।,अर्जुन लाह होतिन्छ़े शोठाई देह सोह बेहोश फिरोस।
1655,Deepu: Wow brother Wow what a good idea you have,दीपु:- याह बाई तुहं तांह वाल बोलोह सुन्च़िदोसे,"दीपु:- यांह बाई! यांह, तेरोह किह बोलोह बातेस।"
1656,The fair was held and the drumming was done at home.,तोमासो जागिह आई ढोल बाजायेन घोरेह घोरेह खुशी मोनादेह साह,तिवार फिरोस आई घोरेह घोरेह बानबात ड्रम बाज़्याओस।
1657,Rasila was startled by the situation in the house.,रसीला घौराए हालौत लै देखिंदै हीशौंदौ-हीशौंदौ थाकबै लागो।,गोरे रोह हालोत देखिह देह रसीला लाह मुलुक बिशादिनो आओस।
1658,"She said: 'O my grandmother, man only does what he pleases.","तेसे बोलोस, आपी! मांनुश आफरोऐ मोरज़ी टानदोस।","बोलोस, यांह आपी मांनुश ज़िह चादोस होयोऐ खोटदोस।"
1659,"Well, I enjoy dancing salsa, so I'm thinking that oh is interesting.","औबौल ढ़ाँगै, हाऊँ नाच़ साल्सा रोह मौज़ा कौरदौ सु, तेकाए सुनच़ियान सु किह हौसौ भानास।","ठीकस, हाऊँ सालसा नाच़ना मौज़ा कौरदौसु, तेकाए हाऊँ सुनच़ियान सु कि ओह औबौलस।"
1660,And I met the kids who were training there for dance.,"आई छ़ेल्डु पेर सिह बेठिह, ज़िह होतिन्छ़े नाच़नोह शिखियेन थियेह।",आई छ़ेल्डु पेर सिह बेठुई ज़ुन होतिन्छ़े नाच़नोह रोह ताई ट्रेनिंग टानेन थियेह।
1661,"Sometimes I get angry with someone, sometimes I get angry with someone.",कौदु कासी सिह पांगा ता कासी सिह दंगा।,कादुह कास गास रोश आछदोह साह कादुह कास गास रोश
1662,Have you seen some of the high buildings?,हाल किन देखिह साह सेएबेए सेठ घोर बार होर रोह,कियाह तेईयेह ऊश्टोह भवन होरिह देखोआ?
1663,"Nothing is achieved without hard work, my friends.",यांह कोन्या होरिह बिना मेनोते किछ़े बिह हासिल निफिरदोस।,बिना मेनोत रोह किछ़े बिह नोपोरदोस कोन्या होरिह।
1664,But I am the farthest,तेबिह हांऊ सऐब काह दुर सुहं।,तेबिह हांऊ सऐब काह दुर सुहं।
1665,I'm going on a boat today?,हाऊँ आज़ एक किश्ती कै नाशानसु?,आज़ एक नौका कै नाशानसु?
1666,Accidents happen a lot these days.,"दुर्घटना मुलुक फिरदोस, होई दयारो केह",आच़कालिह मुलुक हादसा फिरदोस।
1667,This gentleman went to tea and breakfast with friends and went to make a silent shops.,हौयौ साब ता चा नाश्ता कौरिंदै सौंगी होरी सि गौप शौप लाँबै ठुराउवे,हौयौ साब सौंगी सौंगी सिह चा आ नाश्ता रिह ताईंयै नाठो आ च़ुटकाङ दुकान बौनयानाई नाठो।
1668,"In between, the delicious vegetables also spread their flavor.",बीच़ बीच़ कै स्वादिष्ट बाज़ी बि आपनौ स्वाद बास बिखेर्यान थाकी।,बीच़ केह मिठोह बाज़ी होरिये बिह आफरोह मिठोह ज़ुर्राई थियोह।
1669,"This year, the student fleet will be full.",हौयौ बौराश का ता विद्यार्थी होरी रौ बेडा गर्क फिरेस पास निफिरा एबकि बेरै,होई बोराष बिह विद्यार्थी रोह फौज बोर्राऐस।
1670,There were many letters of congratulations inside.,ढेर चिठी आछिह बधाई रोह बितेह,बिते बधाई रोह च़िठिह होरिह थियोह।
1671,I moved here because I got a job as a dog walker.,"हांऊ तिन्छ़े नाशिह देह, किज़ु बोल्तांह मांलाह एकह डॉग वॉकर रोह रुह केह नुकरी पोरिह साह।",हाऊँ ईंयेत च़ुँगी कयूँकी मुला कुकुर वौकील रिह नुकरी पौरी।
1672,How did the courtyard roll up?,केयोह ऊजियेस तेस रोह डोली,आँगन केयोह ऊटोह
1673,Honor is honor,मान साह सम्‍मान साह,ईज़ित साह ईज़ित
1674,"Indeed, the time has now changed.",बेशोक आज़ दयारो बोदलिस।,दिमांङे ऐह दयारो बोदलिस।
1675,The king had great confidence in his eighth queen.,राज़ा लै आपनी आठुई रानी गाश मुलुक विश्वास थेयो,राज़ा रौ आपनै आठुई रानी रौ वाल ब्रोसास थेयो।
1676,"On hearing Sonkacy 's words, Kubjana went to the house thinking how I would present the Mouse to the princess.",सोनकेसी रोह बाते शुनिह देह कुब्जां होईये सुन्च़ियेन पाह गोरे नाठिस किह ऐह हांऊ राजकुमारी रोह सोमने आमनी लाह केयोह पेश टानुह।,सोनकेसी रोह बाते शुनिह देह कुब्जां होईये सुन्च़ियेन पाह गोरे नाठिस किह हांऊ राजकुमारी काछ़ेह मुश लाह केयोह पेश टानसुहं।
1677,"Here the wives of the Englishmen sat in a horse - carriage and came from one place to another with great dignity, with the shoulders of the poor Indian people.",ईंदै आङगरेज़ौ रि द्यानी पेरै घोरै गाडी कै बेशिंदै वाल शानै कौरी एक ठाईं का आईक ठाईं ग्रीब भारतीय जौनता रौ क्यारै गाश पोछ़दी थीह।,"ईंयेत अंग्रेज़ौ रै द्यानी घोरै कै बेशिंदै एक ज़ागा का आईक ज़ागा लै वाल मान-सम्मानै कौरिंदै, भारत रै गरीब मानुषौ रै क्यारै गाश आछ़दै थेह।"
1678,Have a good day!,तुँबा दिन भौलौ हुवो च़ाईं!,एकह बोलोह दयारो हुगोह।
1679,"""Well, the living month is coming.","ठीकस, ज़िंदा मासाऊँ बि आछ़ानस।","ठीकस,जिऊनोह मोसारो आछ़तोस।"
1680,"Yeah, guys, there's no difference between old and new cut.",यांह कोन्या होरिह पुरानोह सिह नोऊवोह काटा केह किछ़े फोरोक नाथाकदोस।,"आँह यांह मांनुशा होरिह, नोऊवोह काटा रोह आगुई काटा केह किछ़ेह फोरोक नांई।"
1681,The foul-mouthed fox who doesn 't eat at home .,घोरेह नाई खामे लाह फुटी कौडी,घोरेह नाखादेह फोल मुहं रोह तोता
1682,"Well, Bob, you like games.",ठिक साह बाब तुह खेलनो पांसद टानदोह सेह।,"ठीकस, बॉब, ताऊँलै खेलना भाँदौस।"
1683,Paving the way for the progress of the mountain,पहाड रोह तोरोकि रोह ताँई बातह गारनोस्‍या,पहाडी उन्नति रोह मोकोत खोल्याई देह
1684,I just went through a bad break up.,हांऊ ऐखोह एकह वामांङ ब्रेक अप रोह ज़ारियाऐ ठुर्राई देह।,एबी एकह मारेह बाराक फिरिह देह।
1685,"The heroine of the play is disturbed,",नाटौक रि नायिका फिकौर कैस।,"नाटौक रोह हीरोइन परेशान फिरदिस,"
1686,He told them that I can 't sleep at all during the day.,"तिनिये तेनोर लाह बोलोस, मांलाह दियुसे गाटोह बिह निज़ नाछ़तोस।","तेनोरिये बोलोस, हांऊ दियुसे काह तांह निज़े निज़े निज़े निशिखिह नुसुहं।"
1687,Another woman said,आ एक द्यानियै बोलोस,आई एकह देन मांनुशे बोलोस
1688,So what do you do for a living?,तै तुह ज़िउनाई ताईंयै कयौ कौरदौसै?,तै तुँबै ज़ियुनाई ताईंयै कयौ कौरदैसौ?
1689,"And when he had gone, he said to his household, ""Bring bread well, today my great masters will come"".","नाशबै लागे ता घौरै वारै लै बोलोस, “रोटी औबौल ढाँगै कौरी बौन्याओवे, आज़ मैरै बौडै हाकम आछ़सा।”","आ च़ौलेनै का पिछ़ु हौतयूँवै घौरै वारै लै बोलोस, भोज भौलि आनौ, आज़ मैरै बौडै मास्टौर आछ़सा।"""
1690,The basic principle of being,फिरनोह जियुनोह रोह मंत्र,थाकनोह रोह मौलिक सिद्धांत
1691,Red cheeks like apples,सेओ रोह गान रातोह पीनचो,सेओ रोह गान रातोह पिनठ
1692,Education and writing are also very important for girls.,पढ़ाई लिखाई बिह देन छ़ेल्डी पेर रोह तांई मुलुक ज़ुरुरिस।,छ़ेल्डी पेर रोह तांई बिह शिखिनो सिह चेमांनो मुलुक ज़ुरुरी साह।
1693,And he took up the pot and went to the market.,आई बांदरु तोल्याई देह बाज़ार केह नाठोस।,आई पटली तोल्याई देह बाज़ार नाठोस।
1694,And leaving their cases open to dry.,आई आफरोह बाल लाह छ़ार्राई देह शुक्याऐन थिह।,आई आफरोह केस शुकेने खोलाऐ थाकदेस।
1695,The chairman of the Mandi Chapter was the late Dr. Kanta Sharma who took over after his death.,मंडी चैप्टर रोह अध्यक्षा तांह स्वर्गीय डॉ कांता शर्मा तेस रोह मोरिह पिछ़ुह सारा काम के0 आर0 पंछीऐ,मंडी चैप्टर रोह अध्यक्ष स्वर्गीय डॉ कान्त शर्माऐ तेस रोह मोत काह पिछ़ुह आफुऐ ज़िगं संभालाई थियोह।
1696,"He left him there under the supervision of Nakul, Sahdev and Draupadi and went to take Arjuna.","तिन लाह होतिन्छ़े नकुल, सहदेव  आई द्रौपदी रोह निगरानी केह ज़ागिह देह अर्जुन लाह आनमेहं नाठोस।","तिन लाह होतिन्छ़े नकुल, सहदेव सिह द्रौपदी रोह निगरानी केह ज़ागिह देह अर्जुन लाह गिनिह आनोह नाठोस।"
1697,"He seeks no shade, nor does he seek a wing.",नाह सेलाव लोरिहदोह नाह पंखा लोरिहदोह,"नाह ताह सोह छाँओह लोरेस, नाह पाखुर लोरेस"
1698,"And he looked down and said, ""But think of this punishment as too great, not too great for this criminal,","आ डुगिह नौज़ौर आबिह निखौर नाठी बोलोस, “पर हौयौ सुनच़ियौ कि हौयौ सज़ा वाल बौडौस, बौडौ ता नाईं हौसौ कसूर रि ताईंयै,","आई तिनिये निज़ शांई देह बोलोस, तेबिह होई सोज़ा लाह होयो ज़ानोह च़ाँनोह, होई गुनहगार रोह तांई मुलुक बोडोह नांई।"
1699,And the cure of the enemy is distance from him.,आई ईज़ रोह ईलाज़ बिह लाईलाज साह।,आई दुश्मोन रोह द्वाई तिन काह दुर साह
1700,The branches of your memory have withered.,तेरोह कोलाङ रोह बारचोह होरिह सुखिह नाशिह साह,तेरोह कोलाङ रोह डाल सुकुई
1701,"Meanwhile, the Mughal king asked, ""Who is the goddess?""","तिज़ मांज़ मुगल बादशाहे बोलोस, कुन देवी मां?","तिज़ मांज़ मुगल बादशाहे पुछ़ोस, देओ कुन स्यास?"
1702,Why do I take off your untouchable form,नुछुगिह देह तेरोह रुह किजु हाँऊ गारेन सुह,किजु टानदोह सुह तेरोह अछूत रुह
1703,Who should I ask?,हांऊ कास काह सोवाल पुछ़ु?,कास कास कास कास कास कास लाह पुछ़ु?
1704,He was a singer and a drunk.,हौसौ गेत लाँदौ बाज़ाँदौ आ मौस्त थाकदौ थेयो,गेत लायेन थाकिह देह रांक ज़ुटदोह थियोह
1705,"Chamba's rough leather shoes, minzer mela and chougan","चम्बा रोह रुमाल सिह चमडा रोह चप्पला होरिह, मिंजर मेला आई चौगान।","चंबा रोह गाटोह च़ामरोह ज़ेओ ज़ुट, मिंजर मेला सिह चुगान"
1706,But he didn't say he'd open in the high village.,तेह तिनिये होयोह ताह नोबोलिह निह उच्‍चा दे केह खोलासुह,तेबिह तिनिये बोलिह नुदोह किह ऊश्टोह देश केह खोलासुहं।
1707,Then my attendance decreased.,तेह मेरोह बिह होतिन्छ़े नाशनोह कम फिरोस।,तेह मेरोह आछ़नोह बिह कम फिरिह देह।
1708,"Wherever there is mercy,",जिन कृपा टानोह साह तिन लाह,"ज़िन बिह मेहरबानी फिरदोस,"
1709,"From morning till nine - ten at night five - seven people sat down, one to write a petition and one to buy property.","दोथि का राची नौउ दौश बाज़ै सेका पाँच़ सात मानुष बेशि थाकदै, कुन और्ज़ी लिखानाई ताईंयै ता कुन डोखरै ज़ाईदाद बेच़नाई लौनाई ताईंयै।","दोथी का ब्याल नौउवि-दौश सेका पाँच़-सात मानुष बेशदै थेह, एक रिट लिखबैलै आ एक ज़ागा लौनाई ताईंयै।"
1710,Tell the windmills people.,पावन मंडल बोलदेह मांनुषा,बागुर रोह मिल होर लाह बोलह
1711,"According to the Puranas, a person who keeps on doing Ekadashi never gets beset by adversity in his life and his life is rich and prosperous.",पुराणौं कै बोलदै सा ज़ुन मानुष एकादशी कौरान थाकदौस हौसौ ज़िंदगी कै कौदुवे बिह दिक्कौत कै नौफौसदौ आ तेनोर रिह ज़िंदगी कै रुपया आ भौरपूरी बौनि थाकदिस।,पुराणौ रोह मुताबिक ज़ुन मानुष एकादशी कौरनै कै थाकदौस हौतयूँरि ज़िंदगी कै कौदु बिह मुश्कौल नाछ़दौस आ हौतयूँरि ज़िंदगी सेठ आ सुकौमी फिरेस।
1712,'Lip' is a big innocent,'दीपक' काताई सादाङस।,'लिप' एकह बोडोह निर्दोष साह
1713,"There is a shortage of fresh air as before, but it is beautiful because of the strict rules of carving in this area.","आगुई ज़ैनी ताज़ा बागुर कै कामी ज़ुरूर आईंदिस, तैबिह शारो कयूँकी हौयौ इलाका कै किछ़ बौन्यानाऐ काठै कानून सा।","पोएले रोह गान ताज़ा हवा रोह कमी फिरदोस, तेबिह होई ईन्छ़े काह नक्काशी रोह सख्त नियम होर रोह कोरच़ाते शारेस।"
1714,"At noon, the sun was shining and the servant of the mother was worshiping her in the temple.","ज़ेत्रेह ठीक दियुसे ज़ाओ फिरोस, तेह फिन्डेरी बिलेह बानबात ज़ाओ फिरोस, आई मां रोह सेवाक कोठी केह मां रोह पुजा टानेन थियोह।",दियुसे दियुस निकलेन पाह माता रोह सेवक तिज़ लाह कोठी केह पूजा टानेन थियोह।
1715,"Your little boy has a new hobby, meeting them.","तु बैलथौर लै नौउवौ शौक लागौंदौस, हेनसी बेठीना मिलाना रोह।","तेरोह लोडोह छ़ेल्डु लाह एकह नोऊवोह शौक साह, तेनोर सिह बेठिमेह।"
1716,He could go unbroken in Anthapur.,अन्तःपुर कै बिह हौसौ रोक-टोक नुहूईंदै नाशि सौकदौ थेयो।,सोह अंतपुर केह बेज़िह नाशेन थियोह।
1717,"The whole programme was anchored by the Chairman of the Command Assembly, Ranjit Singh Rana and Maha-Sahib Kulbir Singh Rana.",सऐब  कार्यक्रम रोह ऐंकरिंग कमान सभा रोह  चेयरमैन रणजीत सिंह राणा आई महा-सहिव कुलबीर सिंह राणा रोह हाथ केह  थियोह।,पुरोह प्रोग्राम केह कमांड असेंबली रोह अध्यक्ष रंजीत सिंह राणा आई महासाहिब कुलबीर सिंह राणाऐ टानोस।
1718,"He said, ""My Majesty, my wife and I went out for a walk in the evening"".","बोलोस, “माराज हाऊँ आ मैरी द्यानी ब्याली रोह वौक्त सैर कौरबैलै निकले थेह।""","तिनिये बोलोस, माराज! हांऊ तेरोह देन मांनुश सिह ब्यालथान मांईयेन नाशिह थियोह।"
1719,"And indeed, you are the one who is in the right place.",तेरोह तांह होयो हालोत साह,आई दिमांङे तुहं आफरोह ज़ागा गाश थाक।
1720,The house was torn apart.,घौरा भेदी लांका फुच़ाएस।,घौरै कै टुकरा-टुकरा फिरे।
1721,left behind,पिछ़ाऐ थाकिह देह।,सोठाई देह पिछाय
1722,But it connects when.,तंतु जुडदो साह जेत्रेह,तेबिह होई केत्रेह जुडदोस।
1723,Happy are the elders of the dwelling-place,खुश साह मोहाला रेह बोडेह बूढे,सुख साह वास-वास रोह स्यानै
